"ReferenceId","PolicyDefinitionId","DisplayName","DefaultEffect","AllowedEffects","PreferredEffect"
"4ec52d6d-beb7-40c4-9a9e-fe753254690e","/providers/Microsoft.Authorization/policyDefinitions/4ec52d6d-beb7-40c4-9a9e-fe753254690e","Azure data factories should be encrypted with a customer-managed key","Audit","Audit, Deny, Disabled","Deny"
"511f5417-5d12-434d-ab2e-816901e72a5e","/providers/Microsoft.Authorization/policyDefinitions/511f5417-5d12-434d-ab2e-816901e72a5e","Kubernetes cluster containers should only use allowed AppArmor profiles","Audit","audit, Audit, deny, Deny, disabled, Disabled","Deny"
"51522a96-0869-4791-82f3-981000c2c67f","/providers/Microsoft.Authorization/policyDefinitions/51522a96-0869-4791-82f3-981000c2c67f","Bot Service should be encrypted with a customer-managed key","Audit","audit, Audit, deny, Deny, disabled, Disabled","Deny"
"55615ac9-af46-4a59-874e-391cc3dfb490","/providers/Microsoft.Authorization/policyDefinitions/55615ac9-af46-4a59-874e-391cc3dfb490","Azure Key Vault should have firewall enabled or public network access disabled","Audit","Audit, Deny, Disabled","Deny"
"564feb30-bf6a-4854-b4bb-0d2d2d1e6c66","/providers/Microsoft.Authorization/policyDefinitions/564feb30-bf6a-4854-b4bb-0d2d2d1e6c66","Web Application Firewall (WAF) should be enabled for Application Gateway","Audit","Audit, Deny, Disabled","Deny"
"56a5ee18-2ae6-4810-86f7-18e39ce5629b","/providers/Microsoft.Authorization/policyDefinitions/56a5ee18-2ae6-4810-86f7-18e39ce5629b","Azure Automation accounts should use customer-managed keys to encrypt data at rest","Audit","Audit, Deny, Disabled","Deny"
"5b9159ae-1701-4a6f-9a7a-aa9c8ddd0580","/providers/Microsoft.Authorization/policyDefinitions/5b9159ae-1701-4a6f-9a7a-aa9c8ddd0580","Container registries should be encrypted with a customer-managed key","Audit","Audit, Deny, Disabled","Deny"
"617c02be-7f02-4efd-8836-3180d47b6c68","/providers/Microsoft.Authorization/policyDefinitions/617c02be-7f02-4efd-8836-3180d47b6c68","Service Fabric clusters should have the ClusterProtectionLevel property set to EncryptAndSign","Audit","Audit, Deny, Disabled","Deny"
"64d314f6-6062-4780-a861-c23e8951bee5","/providers/Microsoft.Authorization/policyDefinitions/64d314f6-6062-4780-a861-c23e8951bee5","Azure HDInsight clusters should use customer-managed keys to encrypt data at rest","Audit","Audit, Deny, Disabled","Deny"
"67121cc7-ff39-4ab8-b7e3-95b84dab487d","/providers/Microsoft.Authorization/policyDefinitions/67121cc7-ff39-4ab8-b7e3-95b84dab487d","Azure AI Services resources should encrypt data at rest with a customer-managed key (CMK)","Audit","Audit, Deny, Disabled","Deny"
"702dd420-7fcc-42c5-afe8-4026edd20fe0","/providers/Microsoft.Authorization/policyDefinitions/702dd420-7fcc-42c5-afe8-4026edd20fe0","OS and data disks should be encrypted with a customer-managed key","Audit","Audit, Deny, Disabled","Deny"
"71ef260a-8f18-47b7-abcb-62d0673d94dc","/providers/Microsoft.Authorization/policyDefinitions/71ef260a-8f18-47b7-abcb-62d0673d94dc","Azure AI Services resources should have key access disabled (disable local authentication)","Audit","Audit, Deny, Disabled","Deny"
