video_id,title,views,averageViewDuration,averageViewPercentage,likes,comments,subscribersGained,total_views,total_likes,total_comments,published_date,duration_seconds,is_short,is_livestream,tags,description
9e8auc5Qy4k,Into the Radius 2 - Early Access - .13.1 Prod - Just some fun!,3,1415,12.5,0,0,0,135,5,0,2025-05-20T13:20:09Z,11328,False,True,"Pcvr, Virtual reality gaming, Virtual gaming, Into the radius, Quest 3, Meta quest 3, Virtual desktop, Obs studio, Into the Radius 2","Just some fun in the Radius, don't know where it will take me.
Mission Rewards - Very High
Item Prices - Very High
Loot - High
Everything else set to High for gunfight difficulty

You can tip if you w..."
SiXE0Ne9gAA,Into the Radius 2 - Early Access - .13.1 Prod - Just some fun!,2,822,7.13,0,0,0,181,3,4,2025-05-30T15:12:44Z,11541,False,True,"Pcvr, Virtual reality gaming, Virtual gaming, Into the radius, Quest 3, Meta quest 3, Virtual desktop, Obs studio, Into the Radius 2","Just some fun in the Radius, don't know where it will take me.
Mission Rewards - Very High
Item Prices - Very High
Loot - High
Everything else set to High for gunfight difficulty

You can tip if you w..."
cEls-okdp8g,Into the Radius - Attempt 2 Deathless - Stalker Mod Live Stream,2,8,0.21,0,0,0,33,2,2,2025-03-07T13:18:40Z,4247,False,True,"Pcvr, Virtual reality gaming, Virtual gaming, Into the radius, Quest 3, Meta quest 3, Virtual desktop, Obs studio","Restarting the effort!  Going Deathless (at least keep trying)

You can tip if you want: 
https://streamlabs.com/oldmangamer-pcvr/tip

Chat ""!specs"" to see PC specifications.
Chat ""!apps"" to see softw..."
HY0eDwNhVTE,Into the Radius 2 - Early Access - .13 Beta 1 Stream,1,12,0.12,0,0,0,103,4,0,2025-03-24T16:04:10Z,10322,False,True,,"Plowing through missions to buy more guns!
Blew the camera alignment, sorry all, too far to the right!   Will do better next time:)


You can tip if you want: 
https://streamlabs.com/oldmangamer-pcvr/..."
MYeP3pRGZiE,Into the Radius 2 - Early Access - .13.1 Prod - Some Secret Climbing Spots,1,1601,19.25,0,0,0,131,4,0,2025-05-06T14:19:06Z,8320,False,True,"Pcvr, Virtual reality gaming, Virtual gaming, Into the radius, Quest 3, Meta quest 3, Virtual desktop, Obs studio, Into the Radius 2","Lets see the new guns and attachments!
SVD is unbelievable, plus a few more discoveries!

You can tip if you want: 
https://streamlabs.com/oldmangamer-pcvr/tip

Chat ""!specs"" to see PC specifications...."
Q8H0QPyuHOQ,Into the Radius 2 - Early Access - .13 Prod - Ghost Town update,1,5456,54.54,0,0,0,177,6,0,2025-04-25T11:30:44Z,10006,False,True,"Pcvr, Virtual reality gaming, Virtual gaming, Into the radius, Quest 3, Meta quest 3, Virtual desktop, Obs studio, Into the Radius 2","Going to stream my first real load into the new game on my OP profile!
Lets see the new guns and attachments!

You can tip if you want: 
https://streamlabs.com/oldmangamer-pcvr/tip

Chat ""!specs"" to s..."
_G5yZIIIa-Q,Into the Radius - Ironman Realistic - Maybe get to the castle?,1,2,0.03,0,0,0,30,3,0,2025-01-27T08:31:19Z,6741,False,True,"Pcvr, Virtual reality gaming, Virtual gaming, Into the radius, Quest 3, Meta quest 3, Virtual desktop, Obs studio","Trying to get to the end, hopefully without dying.
I have a few missions to complete, then will get the final mission.
May be able to get that all done in this stream, maybe not."
aSFFLEqcSiA,Into the Radius - Ironman Realistic - So far deathless run,1,4,0.05,0,0,0,66,3,0,2025-01-21T02:39:22Z,8071,False,True,"Pcvr, Virtual reality gaming, Virtual gaming, Quest 3, Meta quest 3, Virtual desktop, Obs studio, Into the Radius, Into the Radius 2","Its an Into the Radius stream tonight!
Looking to stay deathless :)

(aside from blowing myself up demonstrating propane tank explosions HA!)"
yVM9CDTEq-o,Into the Radius 2 - Early Access - .13 Beta 3 - Nightmare Ironman,1,17,0.34,0,0,0,48,4,0,2025-04-24T14:38:55Z,5043,False,True,"Pcvr, Virtual reality gaming, Virtual gaming, Into the radius, Quest 3, Meta quest 3, Virtual desktop, Obs studio, Into the Radius 2","Trying this again, didn't go so well last attempt.
This game requires serious focus!
Testing balance in nightmare difficulty in ironman mode!
Lets see how it goes!


You can tip if you want: 
https://..."
3LqGxwMnql8,Into the Radius 2 - Early Access - .13 Beta 3 - Nightmare Ironman,0,0,0.0,-1,0,0,176,7,2,2025-04-20T13:24:32Z,4577,False,True,"Pcvr, Virtual reality gaming, Virtual gaming, Into the radius, Quest 3, Meta quest 3, Virtual desktop, Obs studio, Into the Radius 2","Testing balance in nightmare difficulty in ironman mode!
Lets see how it goes!


You can tip if you want: 
https://streamlabs.com/oldmangamer-pcvr/tip

Chat ""!specs"" to see PC specifications.
Chat ""!a..."
